번호,사업장명,구,지번주소,좌표정보(X),좌표정보(Y)
1305,골드헬스,금천구,서울특별시 금천구 시흥동 903 12번지 ,191320.048882076--,438776.690084288--
1306,슬림한 바디,금천구,서울특별시 금천구 독산동 1031 9번지 림스빌딩 지하동 101호,190913.510945549--,440415.261802396--
1307,핫짐휘트니스(HOT GYM),금천구,서울특별시 금천구 독산동 291 1번지 ,190694.880295092--,440764.426277932--
1308,건강을담다 season2,금천구,서울특별시 금천구 가산동 543 1번지 ,189055.138252216--,441958.334400683--
1309,슬림한바디 시흥점,금천구,서울특별시 금천구 시흥동 904 7번지 서우빌딩 ,191350.26844017-- ,438593.516237885--
1310,파워짐,금천구,서울특별시 금천구 시흥동 884 10 새마을금고,191012.444698634,439155.134354676
1311,헬스보이짐 여의도역점,영등포구,서울특별시 영등포구 여의도동 35 한국노총 14층,193474.240829093,446636.663614573
1312,벽계수 스파,금천구,서울특별시 금천구 가산동 140 36번지 B201호,190183.613319646--,441777.324472507--
1313,미진헬스크럽,금천구,서울특별시 금천구 시흥동 837 38번지 ,191636.908720079--,438913.547879145--
1314,신협헬스장,금천구,서울특별시 금천구 독산동 178 28번지 ,191342.764679558--,441076.295774221--
1315,뉴금천 휘트니스3,금천구,서울특별시 금천구 시흥동 5 13 ,191919.012705941--,440127.175851359--
1316,GoTo 휘트니스,금천구,서울특별시 금천구 시흥동 890 4번지 지하1층 ,191257.611843222--,438879.425058325--
1317,거봉 휘트니스,금천구,서울특별시 금천구 독산동 1041 35번지 34층 ,191373.87073798-- ,440333.277000272--
1318,아메리칸휘트니스,금천구,서울특별시 금천구 독산동 962 47번지 ,191389.242624397--,441740.622288466--
1319,(주)그랑시떼 스포츠,금천구,서울특별시 금천구 가산동 60 19번지 SJ 테크노빌 B127호 ,189722.178532426--,441920.972770099--
1320,퍼플짐앤요가,금천구,서울특별시 금천구 독산동 1037 57번지 ,191219.606828111--,440445.718302559--
1321,비타민 휘트니스,금천구,서울특별시 금천구 독산동 291 5번지 시티렉스 3층 ,190858.649482406--,440808.541334678--
1322,RSM 휘트니스,금천구,서울특별시 금천구 가산동 327 29번지 ,189637.456694404--,441016.253713253--
1323,움 Gym,금천구,서울특별시 금천구 가산동 543 1번지 ,189055.138252216--,441958.334400683--
1324,에스바디짐,금천구,서울특별시 금천구 독산동 711 2번지 금천현대아파트 ,190232.47138241-- ,440016.250106997--
1325,스포플렉스(가산점),금천구,서울특별시 금천구 가산동 371 17,189522.336721798,441654.010373182
1326,시흥점 스포애니 (주)케이디스포츠,금천구,서울특별시 금천구 시흥동 912 20 에벤에설프라자 402호,191917.450107657,438699.77460936
1327,주식회사 더랩스휘트니스 독산,금천구,서울특별시 금천구 독산동 951 4 현경빌딩,191389.027715691,441916.081648538
1328,바디채널핏 독산점,금천구,서울특별시 금천구 독산동 1012 15,190938.885780384,440702.228171437
1329,LJ PT,노원구,서울특별시 노원구 공릉동 424 8 유성빌딩,206844.748773798,458326.094883406
1330,더짐 주식회사,서초구,서울특별시 서초구 서초동 1327 15 스타크 강남빌딩,202407.97558606,443592.823707003
1331,F45 신논현,강남구,서울특별시 강남구 논현동 201 6 노벨테크빌딩,202239.450359987,444795.560502591
1332,쉬리 여성전용 헬스클럽,금천구,서울특별시 금천구 시흥동 896 15번지 ,191589.19755097-- ,438843.804103137--
1333,브이,금천구,서울특별시 금천구 시흥동 852 55 ,191529.779194993--,439565.772452126--
1334,지비휘트니스문화센터,금천구,서울특별시 금천구 가산동 150 2 신평대일타운 6층,190498.32738704,441516.527946049
1335,DK퍼스널트레이닝,종로구,서울특별시 종로구 명륜2가 24 1 정화빌딩,200023.629124249,453510.946651784
1336,중앙헬스클럽,금천구,서울특별시 금천구 가산동 151 30,190457.772817906,441601.325701114
1337,에이블짐 천호역점,강동구,서울특별시 강동구 성내동 64 13 브라운스톤천호,210871.293674366,448421.092547965
1338,리발란스케이,강남구,서울특별시 강남구 청담동 71 25 성호빌딩,204834.23057006,446553.337036328
1339,건강더하기헬스,영등포구,서울특별시 영등포구 신길동 162 14번지 ,192526.936332604--,445550.480340273--
1340,스트롱무브,영등포구,서울특별시 영등포구 문래동3가 77 58번지 ,190143.292606048--,446232.458856558--
1341,뷰에르,영등포구,서울특별시 영등포구 여의도동 17 6번지 ,192574.919411037--,447224.785909095--
1342,위크로스핏,서초구,서울특별시 서초구 서초동 1575 2 서용빌딩,201141.531554914,443312.917226397
1343,스포짐(SPOGYM),영등포구,서울특별시 영등포구 여의도동 61번지 여의도금호리첸시아 지하1층 ,194592.276750438--,446268.481210069--
1344,에이스스포츠센타,영등포구,서울특별시 영등포구 여의도동 44 36번지 센터빌딩(지하2층) ,193785.813402517--,446328.36052151-- 
1345,현대카드/캐피탈 휘트니스센터,영등포구,서울특별시 영등포구 여의도동 15번지 한섬빌딩 지1층 ,192743.704150512--,447473.645928848--
1346,강남헬스,영등포구,서울특별시 영등포구 당산동6가 227번지 ,191326.236959952--,447957.777253013--
1347,이너핏,관악구,서울특별시 관악구 신림동 517 3,192317.743639315,442775.501498729
1348,프로헬스,영등포구,서울특별시 영등포구 영등포동5가 6번지 ,191747.252214472--,446393.375935392--
1349,파워체육관,영등포구,서울특별시 영등포구 여의도동 44 27번지 ,193737.480223837--,446434.303266393--
1350,ACTIVE 8,강서구,서울특별시 강서구 염창동 282 11 양화빌딩,189007.651555034,449457.291170885
